employee_id,nama,tanggal_lahir,alamat,jabatan,department,tanggal_masuk
323034,"Galak Pangestu, S.Farm",1975-11-19,"Gg. Jend. Sudirman No. 7, Ambon, BT 45627",Claims Supervisor,Claims,2025-01-11
642673,"Oni Wijaya, S.H.",1999-08-18,"Jl. PHH. Mustofa No. 6, Sibolga, Aceh 76759",Underwriting Manager,Underwriting,2021-12-15
780428,T. Anggabaya Hassanah,1996-11-12,"Jalan HOS. Cokroaminoto No. 86, Kupang, Sumatera Selatan 88704",Finance Supervisor,Finance,2021-08-13
401140,"R.A. Sabrina Permadi, M.Pd",2006-01-21,"Jl. Jend. Sudirman No. 650, Madiun, Kepulauan Bangka Belitung 21845",CS Officer,Customer Service,2023-07-13
939626,Azalea Suwarno,1981-03-25,"Gg. Pasir Koja No. 411, Palopo, SB 83249",Sales Executive,Sales,2020-08-09
729501,Rini Waskita,1999-04-24,"Jl. Stasiun Wonokromo No. 468, Tidore Kepulauan, Bali 35666",Underwriter,Underwriting,2020-09-06
954533,"Himawan Dabukke, S.IP",1967-09-07,"Jalan Soekarno Hatta No. 21, Cirebon, SB 85103",Regional Sales Manager,Sales,2021-04-19
464144,"Cengkir Saptono, M.Kom.",1983-08-26,"Gang Rungkut Industri No. 41, Lubuklinggau, Gorontalo 26002",CS Supervisor,Customer Service,2020-08-01
840617,Budi Sihombing,1982-09-28,"Gang Medokan Ayu No. 039, Balikpapan, NB 73936",Sales Executive,Sales,2021-10-14
979683,Irma Sinaga,1972-06-08,"Jl. Tebet Barat Dalam No. 317, Padangpanjang, Kepulauan Bangka Belitung 55458",Claims Analyst,Claims,2021-02-08
259070,"Sabar Hutapea, S.E.",1989-02-03,"Jalan K.H. Wahid Hasyim No. 186, Banjarbaru, KT 35146",CS Manager,Customer Service,2022-08-26
809946,Jaka Ardianto,1984-09-21,"Jalan Yos Sudarso No. 51, Padang, KU 77885",Underwriting Supervisor,Underwriting,2021-09-29
229474,Sari Mayasari,1969-06-16,"Jalan Yos Sudarso No. 111, Banda Aceh, Bali 77910",Underwriter,Underwriting,2024-02-05
162029,Tgk. Betania Rahmawati,1981-02-12,"Gg. Ahmad Yani No. 557, Pekalongan, Jawa Barat 47399",Finance Staff,Finance,2023-09-05
884362,Emin Padmasari,1967-02-01,"Gang Moch. Toha No. 87, Blitar, Nusa Tenggara Timur 01043",Senior Sales Executive,Sales,2022-09-22
343846,"Ellis Kuswandari, S.Farm",1987-09-13,"Jalan Pacuan Kuda No. 19, Padang, Bengkulu 03317",CS Supervisor,Customer Service,2022-06-12
725583,Gabriella Mangunsong,1994-12-18,"Jl. H.J Maemunah No. 020, Batu, Sulawesi Tenggara 12756",Underwriting Manager,Underwriting,2023-10-27
481428,Febi Mandasari,1986-10-07,"Jalan Rumah Sakit No. 27, Jayapura, Bengkulu 07753",Senior Sales Executive,Sales,2024-07-19
724398,"Oliva Rahmawati, M.M.",1969-01-10,"Gg. Cikapayang No. 6, Malang, Kepulauan Riau 86468",Finance Manager,Finance,2023-02-13
736410,Calista Nababan,2003-09-20,"Jl. Pacuan Kuda No. 60, Kota Administrasi Jakarta Selatan, KB 79170",Senior CS Officer,Customer Service,2024-06-28
775882,Gabriella Ardianto,1988-05-06,"Gang Tubagus Ismail No. 0, Meulaboh, Nusa Tenggara Timur 87911",Underwriting Manager,Underwriting,2025-01-03
913303,Hadi Habibi,1965-06-09,"Gg. Wonoayu No. 9, Serang, Sumatera Utara 51440",CS Supervisor,Customer Service,2023-01-16
702172,"Sutan Kamidin Adriansyah, S.Sos",1993-05-21,"Gang Cihampelas No. 6, Padang Sidempuan, Aceh 76252",Underwriter,Underwriting,2023-10-13
368188,Dt. Umaya Yuliarti,2004-02-17,"Jl. Antapani Lama No. 47, Padangpanjang, KT 03275",Underwriter,Underwriting,2025-04-11
73518,Maryadi Marpaung,1975-05-14,"Gg. Erlangga No. 1, Kota Administrasi Jakarta Barat, Aceh 58745",Finance Analyst,Finance,2021-12-21
170634,Hj. Jasmin Uwais,1973-02-07,"Jl. Siliwangi No. 98, Probolinggo, Sumatera Barat 16538",Senior Underwriter,Underwriting,2021-02-25
382006,Dimaz Sitompul,1978-09-12,"Jalan PHH. Mustofa No. 09, Tebingtinggi, Sumatera Selatan 86313",Regional Sales Manager,Sales,2020-11-27
589624,"Dt. Jagaraga Megantara, S.E.I",1989-12-03,"Jalan S. Parman No. 3, Blitar, Papua Barat 06107",Underwriting Supervisor,Underwriting,2021-11-25
575149,"Dr. Yunita Firgantoro, M.M.",1971-12-04,"Gang Cikutra Barat No. 304, Sabang, Nusa Tenggara Timur 46286",Claims Manager,Claims,2022-02-08
68321,T. Karsa Anggriawan,1993-01-31,"Gg. Sentot Alibasa No. 31, Padang, Jawa Tengah 59394",Regional Sales Manager,Sales,2020-11-12
879775,Mumpuni Samosir,2006-08-20,"Jl. H.J Maemunah No. 5, Bogor, Sulawesi Utara 64057",Underwriting Supervisor,Underwriting,2024-01-21
495577,Raina Santoso,1998-03-03,"Jl. Dipenogoro No. 09, Kota Administrasi Jakarta Selatan, BA 08418",Finance Staff,Finance,2022-02-18
468450,Kairav Yulianti,2006-07-07,"Gang Cihampelas No. 8, Bengkulu, Riau 79546",Claims Supervisor,Claims,2024-11-01
200818,R. Ratna Thamrin,1997-06-24,"Gang Asia Afrika No. 5, Bekasi, Papua Barat 84656",CS Supervisor,Customer Service,2024-02-22
707186,Ir. Baktianto Tamba,1976-10-11,"Gang Pelajar Pejuang No. 504, Bau-Bau, Jambi 77294",Senior Sales Executive,Sales,2022-06-02
910650,"Sutan Jaga Widiastuti, S.E.",1984-02-14,"Jalan Asia Afrika No. 7, Balikpapan, JA 77455",Senior CS Officer,Customer Service,2021-09-25
563204,"Akarsana Maulana, M.Pd",1995-03-08,"Jalan Jakarta No. 18, Bengkulu, Sulawesi Tengah 00856",Underwriting Supervisor,Underwriting,2021-12-19
72829,Harsanto Hutagalung,1979-10-25,"Jalan Kendalsari No. 72, Ternate, ST 03772",CS Manager,Customer Service,2020-12-04
293225,Taufan Wasita,1965-02-19,"Jl. Moch. Ramdan No. 2, Tangerang Selatan, Jawa Timur 18326",Claims Supervisor,Claims,2024-08-03
80877,Kariman Adriansyah,1972-12-10,"Gang Erlangga No. 6, Kota Administrasi Jakarta Pusat, BE 99869",Underwriter,Underwriting,2024-01-31
126160,Olivia Mayasari,1982-03-27,"Gg. Pacuan Kuda No. 44, Tanjungbalai, Bengkulu 49138",Senior Underwriter,Underwriting,2020-11-12
325638,Putri Waskita,2007-01-03,"Gang Pasir Koja No. 036, Bekasi, ST 93572",Claims Manager,Claims,2025-06-29
849806,Respati Yolanda,1964-10-07,"Gg. Waringin No. 70, Bontang, SB 10574",Claims Officer,Claims,2021-12-30
422034,Ir. Ajeng Nugroho,1996-12-08,"Gg. KH Amin Jasuta No. 89, Semarang, Maluku Utara 52022",Finance Analyst,Finance,2021-07-07
651225,Sutan Eka Handayani,1980-10-07,"Gang Cihampelas No. 412, Kota Administrasi Jakarta Utara, Sumatera Barat 39406",CS Officer,Customer Service,2022-05-29
476725,Hj. Rachel Maheswara,2005-05-22,"Gg. Dipenogoro No. 348, Palu, DI Yogyakarta 15592",Finance Supervisor,Finance,2024-01-24
832178,"Uchita Nasyidah, M.TI.",1977-09-15,"Jalan Asia Afrika No. 9, Payakumbuh, Nusa Tenggara Barat 65557",CS Supervisor,Customer Service,2022-01-11
417632,Qori Wacana,1973-12-19,"Jalan Otto Iskandardinata No. 715, Malang, KU 56606",CS Officer,Customer Service,2020-11-29
262975,Hasna Habibi,1989-01-09,"Gang Laswi No. 469, Kota Administrasi Jakarta Barat, KR 67968",Finance Manager,Finance,2025-06-20
354768,Victoria Melani,1972-08-24,"Jalan Gegerkalong Hilir No. 6, Padangpanjang, KR 79587",Claims Officer,Claims,2021-12-01
75608,Mahfud Tamba,1980-02-28,"Gang Dipatiukur No. 83, Tasikmalaya, KT 48747",Senior Underwriter,Underwriting,2020-11-18
9743,"R.M. Karta Hutasoit, S.T.",1972-09-06,"Gang Dipatiukur No. 75, Lhokseumawe, PA 91900",Underwriter,Underwriting,2021-01-09
174671,"Rangga Prasasta, S.E.I",1965-01-31,"Jl. Moch. Ramdan No. 184, Sukabumi, Kepulauan Riau 71396",Claims Officer,Claims,2021-11-30
950175,Bella Saragih,1971-12-20,"Gg. Dr. Djunjunan No. 7, Tangerang, NT 33706",Finance Staff,Finance,2023-06-17
502166,Hasna Saputra,1995-08-23,"Gg. HOS. Cokroaminoto No. 8, Ambon, Sumatera Selatan 39758",Underwriting Manager,Underwriting,2025-06-14
720161,Unggul Palastri,1992-09-30,"Gang Cihampelas No. 0, Pekanbaru, Sulawesi Tenggara 86016",Senior Underwriter,Underwriting,2021-03-16
379869,Rahmi Mardhiyah,1974-01-22,"Jl. HOS. Cokroaminoto No. 8, Probolinggo, Kalimantan Utara 30890",Senior Underwriter,Underwriting,2025-04-10
581919,Paramita Anggriawan,1991-01-19,"Gg. Rungkut Industri No. 98, Pekanbaru, Sulawesi Utara 00534",CS Supervisor,Customer Service,2021-04-02
606263,Usyi Mardhiyah,1972-04-26,"Jalan Ronggowarsito No. 429, Denpasar, JK 93293",Senior Underwriter,Underwriting,2023-04-27
230976,"Cut Irma Budiman, M.TI.",1992-12-31,"Jalan Rajawali Barat No. 732, Tegal, DI Yogyakarta 78879",Sales Executive,Sales,2020-08-20
162258,"Daruna Nababan, M.Pd",1968-04-11,"Gg. W.R. Supratman No. 466, Pontianak, GO 28075",Underwriting Manager,Underwriting,2025-02-12
974339,Puti Laras Haryanto,1972-09-24,"Gg. Kiaracondong No. 90, Kotamobagu, ST 94324",CS Officer,Customer Service,2024-03-02
790432,Rika Ardianto,1991-03-15,"Gang Pasteur No. 28, Kediri, KB 15912",Claims Analyst,Claims,2024-01-20
158144,Kamal Sinaga,1984-01-09,"Jalan Bangka Raya No. 2, Sukabumi, SN 94555",Claims Analyst,Claims,2023-07-21
408970,"Drs. Wirda Prayoga, S.T.",1988-04-07,"Gang Asia Afrika No. 997, Sungai Penuh, YO 20631",Senior CS Officer,Customer Service,2021-10-17
223951,R.M. Samsul Damanik,1972-12-06,"Jl. Jend. Sudirman No. 19, Kupang, Sumatera Utara 19975",Claims Analyst,Claims,2025-03-10
607195,Maria Saefullah,1988-08-24,"Jalan Pasir Koja No. 638, Tanjungpinang, SS 98424",Claims Manager,Claims,2023-12-28
147180,"Praba Hakim, S.Pt",2007-04-03,"Gg. Rumah Sakit No. 925, Ternate, Kalimantan Tengah 47638",CS Supervisor,Customer Service,2025-06-25
675602,Ana Namaga,1986-09-21,"Jalan BKR No. 28, Depok, PA 62129",Senior CS Officer,Customer Service,2023-12-20
871,H. Mumpuni Maryati,1968-07-28,"Gg. Jamika No. 566, Bandar Lampung, BT 19028",Senior Underwriter,Underwriting,2024-01-22
746258,Clara Sihombing,1982-10-17,"Jl. Suniaraja No. 7, Palopo, JK 19566",Senior Sales Executive,Sales,2022-02-07
580189,Ibrahim Januar,2006-04-21,"Jalan Lembong No. 04, Meulaboh, Riau 34485",Finance Manager,Finance,2020-11-02
171900,drg. Ghaliyati Pradipta,1992-08-08,"Jl. Pasirkoja No. 898, Sibolga, SU 16115",Senior Underwriter,Underwriting,2024-04-23
845798,Sidiq Mandala,2004-05-16,"Jalan Kiaracondong No. 9, Gorontalo, Gorontalo 79869",Finance Manager,Finance,2025-01-16
703771,"Kani Wastuti, S.I.Kom",1967-05-14,"Gg. K.H. Wahid Hasyim No. 831, Madiun, SU 12528",Finance Manager,Finance,2024-02-28
354155,Dinda Ardianto,1995-09-08,"Gang Pasteur No. 341, Serang, Maluku 50492",Finance Manager,Finance,2021-04-24
798657,Lantar Damanik,1992-09-09,"Gang Dr. Djunjunan No. 0, Prabumulih, KI 61666",Claims Manager,Claims,2024-01-25
364163,"Maida Prasetya, M.Farm",1996-01-13,"Jalan PHH. Mustofa No. 9, Batu, Sulawesi Barat 87106",Underwriter,Underwriting,2022-01-14
124544,Sadina Uyainah,1993-09-18,"Jalan PHH. Mustofa No. 39, Prabumulih, Sulawesi Selatan 88032",Underwriting Supervisor,Underwriting,2020-10-14
805538,Salwa Sinaga,1987-12-13,"Jl. Kendalsari No. 1, Payakumbuh, Kepulauan Riau 53670",Finance Manager,Finance,2024-12-20
588734,Tgk. Mahesa Situmorang,1971-10-25,"Gang Lembong No. 222, Cilegon, MA 39270",Senior CS Officer,Customer Service,2021-05-28
422402,Ghaliyati Utama,1981-01-18,"Gang Asia Afrika No. 0, Semarang, JA 87445",Claims Manager,Claims,2023-12-07
898844,Devi Puspita,1981-10-23,"Gang Cempaka No. 1, Tomohon, Papua Barat 40322",Claims Supervisor,Claims,2021-05-04
253553,Raihan Budiman,1984-10-25,"Gang Antapani Lama No. 2, Sawahlunto, JI 95262",Finance Supervisor,Finance,2023-08-10
589202,"Ayu Wahyuni, S.Ked",2003-03-06,"Gang Ronggowarsito No. 827, Tanjungpinang, RI 33929",Senior Underwriter,Underwriting,2021-04-20
234840,Tugiman Safitri,1975-10-27,"Gg. Kapten Muslihat No. 0, Bengkulu, RI 16200",Underwriting Manager,Underwriting,2021-10-04
551709,Lala Latupono,1968-02-08,"Gg. Sukajadi No. 0, Semarang, Sumatera Barat 31467",Underwriting Manager,Underwriting,2023-06-19
878073,"Latika Napitupulu, S.Farm",2000-01-17,"Jl. Jamika No. 585, Tomohon, Kalimantan Barat 87577",CS Manager,Customer Service,2021-05-31
145892,Gantar Safitri,1977-01-21,"Jalan Joyoboyo No. 360, Kediri, JK 93337",CS Supervisor,Customer Service,2021-11-20
117491,Oni Situmorang,1988-01-27,"Gang Sukajadi No. 67, Bogor, Sumatera Selatan 79382",Senior Sales Executive,Sales,2023-12-18
539387,Mulyono Prastuti,1971-04-23,"Jl. Kebonjati No. 05, Tidore Kepulauan, Kepulauan Bangka Belitung 91462",CS Officer,Customer Service,2022-04-18
581205,"R. Olivia Putra, S.E.",1966-06-01,"Gg. Rumah Sakit No. 21, Sungai Penuh, Aceh 12785",Claims Officer,Claims,2022-04-03
63507,"Drs. Wira Tampubolon, M.M.",1994-01-12,"Jalan Kebonjati No. 1, Tanjungbalai, JT 14586",CS Manager,Customer Service,2022-06-02
739044,Melinda Siregar,1990-03-02,"Gang Lembong No. 02, Probolinggo, BB 64691",Sales Manager,Sales,2023-04-05
365698,Waluyo Putra,2003-01-15,"Jl. Raya Ujungberung No. 54, Tidore Kepulauan, Maluku Utara 69209",Claims Manager,Claims,2022-01-05
411830,Rachel Novitasari,1969-05-18,"Gang Cikutra Timur No. 079, Subulussalam, JB 20907",Finance Analyst,Finance,2024-06-19
253470,Caket Tamba,1974-08-29,"Jl. BKR No. 19, Tasikmalaya, Papua Barat 25457",Regional Sales Manager,Sales,2021-06-14
435072,"Drs. Galih Mayasari, S.Gz",1984-05-23,"Jl. Moch. Ramdan No. 7, Palangkaraya, Nusa Tenggara Barat 16597",Finance Manager,Finance,2025-05-21
694417,Amalia Wahyudin,1990-11-29,"Jalan Setiabudhi No. 0, Kota Administrasi Jakarta Pusat, DKI Jakarta 42598",Underwriter,Underwriting,2024-09-11
811780,Putri Sihombing,1977-09-05,"Jalan Asia Afrika No. 5, Kota Administrasi Jakarta Timur, SU 89435",Senior Underwriter,Underwriting,2020-09-01
353667,Gaduh Wijayanti,1980-05-22,"Jalan Sukajadi No. 981, Tegal, JI 42486",Regional Sales Manager,Sales,2022-03-31
763396,"Hj. Lala Widiastuti, S.Pd",2005-12-15,"Jalan Cempaka No. 8, Bontang, Lampung 69506",Underwriting Manager,Underwriting,2023-07-28
917148,"Violet Mulyani, M.TI.",1995-07-10,"Jalan BKR No. 6, Samarinda, JI 76334",Underwriter,Underwriting,2021-01-10
774041,Faizah Mansur,1989-12-29,"Jl. Asia Afrika No. 64, Batam, BE 35139",CS Officer,Customer Service,2023-10-25
698023,Praba Natsir,1966-06-16,"Jl. Rumah Sakit No. 450, Tarakan, Jambi 23352",Senior Underwriter,Underwriting,2023-11-25
516552,"T. Kambali Utama, M.M.",1978-07-31,"Gg. Sentot Alibasa No. 32, Tidore Kepulauan, Kalimantan Tengah 40995",CS Manager,Customer Service,2020-11-09
145794,Zizi Maryati,2006-10-09,"Gang Soekarno Hatta No. 098, Meulaboh, Jawa Tengah 58515",Finance Manager,Finance,2024-01-29
40724,R.A. Dina Prastuti,1982-07-03,"Gg. Astana Anyar No. 30, Madiun, JT 56959",Underwriting Manager,Underwriting,2023-11-26
855112,Lintang Pertiwi,1977-02-25,"Gg. Dipenogoro No. 401, Kota Administrasi Jakarta Utara, SR 67589",Claims Officer,Claims,2024-05-31
275939,Drs. Dinda Oktaviani,2002-01-28,"Jalan Kutai No. 9, Madiun, Kalimantan Barat 14450",Finance Staff,Finance,2022-04-25
396108,"R. Jumadi Tarihoran, S.I.Kom",1977-02-21,"Gang Jend. Sudirman No. 374, Cimahi, Sumatera Selatan 41535",Claims Manager,Claims,2024-04-19
601220,"Lala Anggriawan, S.H.",1997-05-30,"Jalan Rajawali Barat No. 92, Tanjungpinang, Lampung 19899",Underwriter,Underwriting,2024-08-24
335565,Argono Tampubolon,1999-01-12,"Jl. Sukajadi No. 5, Tomohon, Jambi 50872",CS Supervisor,Customer Service,2021-01-29
65527,Cici Kurniawan,1992-08-18,"Gg. Jend. A. Yani No. 9, Mataram, Nusa Tenggara Barat 38221",CS Manager,Customer Service,2020-10-17
703671,Nabila Wulandari,1999-01-09,"Gg. Dipenogoro No. 56, Payakumbuh, Sumatera Selatan 26681",Finance Manager,Finance,2023-10-12
578853,Iriana Anggraini,1985-02-09,"Gg. Abdul Muis No. 8, Cimahi, Kalimantan Tengah 32634",Senior Underwriter,Underwriting,2021-03-03
950502,Taufan Novitasari,1978-07-04,"Jalan Kebonjati No. 721, Batam, Jawa Timur 76196",CS Manager,Customer Service,2020-09-23
40476,Usyi Wulandari,1974-08-07,"Gang Ahmad Yani No. 74, Batu, DI Yogyakarta 89863",Claims Supervisor,Claims,2024-07-01
794514,Lalita Uyainah,1980-04-23,"Jalan Kutai No. 585, Gorontalo, BA 21689",Sales Manager,Sales,2024-06-29
370244,"Rini Nababan, M.Kom.",2003-02-18,"Gg. Peta No. 17, Bogor, KT 70004",CS Officer,Customer Service,2020-07-21
211871,Murti Hastuti,1983-03-03,"Gg. Ir. H. Djuanda No. 95, Bengkulu, KR 72355",Claims Supervisor,Claims,2024-06-12
270997,Dariati Budiman,1995-10-23,"Gg. Siliwangi No. 00, Kota Administrasi Jakarta Timur, BA 87548",Senior Underwriter,Underwriting,2022-03-22
684729,Hasim Narpati,1970-07-18,"Gang Cempaka No. 977, Mataram, GO 34914",Senior Sales Executive,Sales,2025-03-26
989986,Malika Purnawati,1992-02-21,"Jalan Dipenogoro No. 9, Cimahi, ST 34764",Senior CS Officer,Customer Service,2021-10-21
519839,Titi Yuliarti,1981-06-04,"Jalan Kebonjati No. 897, Cirebon, Banten 99261",Senior CS Officer,Customer Service,2020-08-16
541409,Dagel Padmasari,1981-12-30,"Gang Sentot Alibasa No. 977, Sawahlunto, KT 80658",CS Supervisor,Customer Service,2022-01-11
594724,Raisa Setiawan,2005-10-25,"Gg. Merdeka No. 038, Payakumbuh, KR 18547",Finance Staff,Finance,2022-06-26
567708,Putri Dabukke,1996-06-14,"Gg. Ciumbuleuit No. 75, Cirebon, Jawa Tengah 53736",Underwriting Supervisor,Underwriting,2022-07-06
632354,Padmi Saptono,1975-09-10,"Jl. Kendalsari No. 845, Sibolga, JA 91540",Claims Manager,Claims,2025-02-23
658917,Abyasa Rajata,1976-10-10,"Jalan Rajawali Timur No. 8, Singkawang, SR 83325",Regional Sales Manager,Sales,2020-09-03
75344,Balapati Winarsih,1968-09-01,"Jalan Lembong No. 5, Jayapura, JK 66913",CS Supervisor,Customer Service,2021-04-24
531413,"R.M. Balidin Andriani, S.Gz",2000-10-18,"Gg. M.T Haryono No. 3, Banda Aceh, NT 96309",Underwriter,Underwriting,2023-05-20
583891,"Pranata Rahmawati, S.I.Kom",1981-08-06,"Gg. Pacuan Kuda No. 993, Tangerang, KB 56899",Senior Underwriter,Underwriting,2021-06-08
278727,"Jais Uyainah, S.I.Kom",1997-04-01,"Gg. Jend. Sudirman No. 31, Palu, Kepulauan Bangka Belitung 87127",Claims Analyst,Claims,2022-09-29
745623,Melinda Maryati,2001-06-29,"Jl. Kebonjati No. 1, Jambi, YO 76825",CS Officer,Customer Service,2025-06-06
652396,Siska Purnawati,1996-11-08,"Jalan Kebonjati No. 5, Batam, BA 07861",Claims Officer,Claims,2024-10-15
651337,R.A. Uli Najmudin,2002-10-21,"Jalan Dipenogoro No. 4, Tebingtinggi, Nusa Tenggara Timur 05931",Claims Analyst,Claims,2021-09-24
208654,Darmanto Narpati,1978-09-26,"Jalan PHH. Mustofa No. 075, Bau-Bau, Banten 15768",Regional Sales Manager,Sales,2020-08-31
719274,"Dt. Gamani Prakasa, S.Pt",1989-06-05,"Gg. Pelajar Pejuang No. 6, Tasikmalaya, Kalimantan Utara 05879",Sales Executive,Sales,2023-01-17
958681,Ayu Budiyanto,1995-03-16,"Gg. Wonoayu No. 2, Lhokseumawe, GO 53825",Finance Supervisor,Finance,2024-09-19
